位置,大小,价格,单位
襄城西门桥护城河畔襄城矿山小区，襄阳人家7中国际部2楼 矿山小区,3室1厅|105平米|1/6层崔贵波 整租 南北,1600 ,元/月
襄城北街精装修一房一厅，带家具，家电，可拎包入住,1室1厅|45平米|4/7层彭军华 整租 东西,1000 ,元/月
襄城檀溪路东方小区精装修2室2厅1卫90平1700元月租 东方社区,2室2厅|90平米|14/15层陈枝敏 整租 南北,1700 ,元/月
山水檀溪秀园精装3室靠近路边适合办公和居家 山水檀溪秀园,3室2厅|128平米|10/15层彭丹 整租 南北,1800 ,元/月
安厦好房 鼓楼金兰实验小学附近工行家属院 简单家具家电 花园公寓,2室2厅|80平米|3/7层冯静雯 整租 南北,1700 ,元/月
安厦 襄城檀溪襄轴家属院1室1厅1卫轴承一路41中 轴承厂家属区,1室1厅|50平米|5/6层臧升群 整租 南北,650 ,元/月
檀溪路檀溪府。邸精装三室家电齐全拎包入住 檀溪府邸,3室2厅|120平米|21/23层袁帅鹏 整租 南北,2500 ,元/月
东门口医院上班方便近 庞公花苑 精装2房即可。 庞公花苑,2室2厅|90平米|1/6层崔贵波 整租 南北,1800 ,元/月
襄城区东门口二附近红旗小区两室精装修有车位 红旗小区,2室1厅|75平米|7/8层崔贵波 整租 南北,1000 ,元/月
襄城附小附近精装修三房两厅一卫，带家具，家电拎包入住,3室2厅|120平米|7/7层彭军华 整租 东南,1700 ,元/月
鱼梁洲鹿鸣岛，5楼1500元，家具家电齐全，复试楼带空中花园 鹿鸣岛花园夏雨苑,4室2厅|153平米|5/6层赵晓 整租 西北,1500 ,元/月
农校家属院精装修，带空调家俱，家电拎包入住。 美琦公寓,1室1厅|46平米|3/4层彭军华 整租 南北,1500 ,元/月
檀溪路 襄阳市图书馆后慧苑新区 二室二厅 慧苑新区,2室2厅|80平米|1/7层刘源 整租 南北,1800 ,元/月
檀溪明园精装修一房一厅，带家具，家电拎包入住。 山水檀溪明园,1室1厅|60平米|7/9层彭军华 整租 西北,2000 ,元/月
四中对面陪读房，荆州街四区88平2室2厅，家电齐全拎包住. 生活一区,2室2厅|86平米|4/6层崔贵波 整租 朝南,2000 ,元/月
西门桥建行家属院 中间楼层 拎包入住 精装修 昭明台社区,2室2厅|82平米|3/7层黄虹玲 整租 南北,1800 ,元/月
安厦襄城檀溪东方小区板楼精装修采光好拎包入住有钥匙看房方便 东方社区,3室2厅|112平米|3/6层赵鹏侦 整租 南北,1850 ,元/月
襄城武商附近 四中陪读房，一室精装1500元 金榜公寓,1室1厅|30平米|1/5层张小琴 整租 南北,1500 ,元/月
东门口河畔林语两室精装家具家电齐全 有钥匙看房方便 庞公春晓,2室2厅|95平米|2/15层康海波 整租 南北,1500 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|83平米|18/23层张曼 整租 南北,1900 ,元/月
安厦好房 檀溪恒大名都对面小区 两室精装家具家电齐全 檀溪府邸,2室2厅|82平米|22/23层冯静雯 整租 南北,1800 ,元/月
山水檀溪水园南北通透中央空调 2室高层 安厦好房 山水檀溪秀园,2室2厅|100平米|14/15层卢旭芳 整租 南北,2200 ,元/月
安厦 襄城檀溪轴承厂对面檀溪公馆旁陶瓷厂家属院精装2室2厅 檀溪路万陶小区,2室2厅|90平米|4/6层臧升群 整租 南北,1000 ,元/月
檀溪府电梯新区二房拎包入住，1600送宽带 檀溪府邸,2室2厅|84平米|8/19层王立 整租 南北,1600 ,元/月
襄城丽江泊林 环境好 拎包入住 安厦 华凯丽江泊林,3室2厅|140平米|4/8层冯燕红 整租 南北,2200 ,元/月
襄城四中对面，陪读首 选，装修保持好 2室 家具齐拎包入住 生活一区,2室2厅|68平米|3/6层张小琴 整租 南北,2000 ,元/月
鼓楼财局家属院 中间楼层 拎包入住停车方便 民安公寓,2室2厅|85平米|1/7层黄虹玲 整租 南北,1700 ,元/月
湖北文理学院商品房新装修可短租家具齐全3室2厅单间200元 609研究所,3室2厅|75平米|3/7层陈程 整租 南北,200 ,元/月
安嘉好房出租，山水檀溪明园。精装修拎包入住 山水檀溪明园,1室1厅|42平米|6/9层朱雪平 整租 朝南,1500 ,元/月
檀溪恒大名都1室1厅家具家电齐全 有钥匙看房方便 恒大名都,1室1厅|39平米|10/32层夏萍 整租 朝南,1600 ,元/月
东门口居家舒适小三室，适合上学务工人员的选择 东城逸景,3室1厅|97平米|4/6层沈伟 整租 南北,1200 ,元/月
人民广场解放路精装3室 襄阳市新华书店家属院,3室1厅|120平米|6/7层王少想 合租 南北,1400 ,元/月
安厦优选 襄城 东门口 北京公馆附近 王家洼1室1厅400元 北京公馆,1室1厅|40平米|1/3层王春红 整租 朝南,350 ,元/月
西门桥102家属院好房出租，位置好，家具家电齐全，采光好 丽波湾,2室2厅|85平米|7/8层盛光燕 整租 南北,900 ,元/月
沿江大道学府花园2室房出租 学府花园,2室2厅|90平米|2/4层聂雨菡 整租 南北,1800 ,元/月
（安厦好房）庞公路 梧桐湾 精装三室 中间楼层 直接拎包入住 冠通梧桐湾,3室2厅|97平米|16/18层冷孝红 整租 南北,2300 ,元/月
解放路新华书店家属院 简装三室家电家具齐 可拎包入住 襄阳市新华书店家属院,3室2厅|150平米|2/6层张进军 整租 南北,1800 ,元/月
襄城东门口商品房小区 三室精装修 拎包入住 安厦 仟和惠景,3室2厅|145平米|5/7层冯燕红 整租 南北,2000 ,元/月
安厦 三桥头金色营盘精装二室 小区环境好 交通便利 骧龙国际,2室2厅|80平米|11/16层徐娟 整租 南北,1000 ,元/月
胜利街36中半山逸品山水文景静雅苑2室精装拎包入住非常干净 静雅苑,3室2厅|110平米|5/5层吴莹 整租 南北,1000 ,元/月
胜利街静雅苑2房，近公交站，新建公园旁，精装修拎包入住！！ 静雅苑,2室2厅|92平米|6/7层王文俊 整租 南北,1400 ,元/月
室内干净明亮，家俱家电齐全，交通方便 襄城春天,2室2厅|98平米|5/7层王军 整租 南北,1600 ,元/月
安厦好房 东门口华电对面鼎盛苑 两室家具家电齐全 看房方便 中房鼎盛源,2室2厅|65平米|4/6层张曼 整租 南北,1300 ,元/月
六化建育才小区，南北通透有阳台，看房方便，诚意出租！！ 六化建育才小区,2室2厅|80平米|7/7层王文俊 整租 南北,1000 ,元/月
恒大名都精装两室户型好光线好安厦好房 恒大名都,2室2厅|87平米|30/32层王红玲 合租 南北,2000 ,元/月
安嘉好房出租，家具家电期，拎包入住 檀溪府邸,3室2厅|137平米|10/25层朱雪平 整租 朝南,2500 ,元/月
东街 武商量贩与襄城剧院旁 二室一厅 交通方便,2室1厅|75平米|2/5层刘源 整租 南北,1800 ,元/月
襄城丽江泊林 高端小区 精装修 拎包入住 安厦 华凯丽江泊林,3室2厅|97平米|2/8层冯燕红 整租 南北,2000 ,元/月
出租檀溪检察院家属院2室有家具家电！ 盛景名门,2室2厅|88平米|5/6层彭丹 整租 南北,1600 ,元/月
安厦 恒大名都精装一室 家具家电齐全 均价低 恒大名都,1室1厅|39平米|10/32层马思维 整租 南北,1600 ,元/月
北街33中旁一轻公司 有院子有保安 拎包入住 鼓楼公寓,2室1厅|70平米|2/6层张亚丽 整租 南北,1900 ,元/月
四中对面单位家属院，免费物业免停车位只租1800， 四中小学家属院,2室2厅|68平米|5/7层王立 整租 南北,1800 ,元/月
安厦出租 鼓楼商场旁联达小区精装房两室两厅家具家电齐全 联达小区,2室2厅|95平米|3/4层陈枝敏 整租 南北,2200 ,元/月
檀溪恒大名都精装2室 家具家电齐全 阳台朝南 恒大名都,2室2厅|87平米|30/32层夏萍 整租 南北,1900 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|83平米|22/23层冯静雯 整租 南北,1900 ,元/月
檀溪路吉阳旁檀溪新居，近图书馆，电梯2房，楼层好看房方便！ 檀溪新居,2室1厅|85平米|14/15层王文俊 整租 南北,1800 ,元/月
鼓楼附近带家具，家电三居室，干净整洁，拎包入住 鼓楼公寓,3室1厅|97平米|3/7层彭军华 整租 南北,1800 ,元/月
（安厦好房）丽江泊林高档花园小区精装两室电梯房家具家电齐全 华凯丽江泊林,2室2厅|80平米|8/8层袁飞 整租 南北,1700 ,元/月
（安厦好房）东门口一轻局家属院 精装两室 有钥匙 拎包入住 隆馨家园,2室2厅|69平米|1/1层辛美娜 整租 南北,1200 ,元/月
安厦优选 檀溪路图书馆旁电梯房精装修家具家电齐全 檀溪新居,2室2厅|83平米|14/15层辛美娜 整租 南北,1800 ,元/月
安厦优选襄城檀溪路国际商都单间公寓出租 国际商都,2室1厅|55平米|3/3层邹学亭 整租 南北,800 ,元/月
襄城西门桥护城河畔襄城矿山小区，襄阳人家7中国际部2楼 矿山小区,3室1厅|105平米|1/6层崔贵波 整租 南北,1600 ,元/月
襄城北街精装修一房一厅，带家具，家电，可拎包入住,1室1厅|45平米|4/7层彭军华 整租 东西,1000 ,元/月
襄城檀溪路东方小区精装修2室2厅1卫90平1700元月租 东方社区,2室2厅|90平米|14/15层陈枝敏 整租 南北,1700 ,元/月
山水檀溪秀园精装3室靠近路边适合办公和居家 山水檀溪秀园,3室2厅|128平米|10/15层彭丹 整租 南北,1800 ,元/月
安厦好房 鼓楼金兰实验小学附近工行家属院 简单家具家电 花园公寓,2室2厅|80平米|3/7层冯静雯 整租 南北,1700 ,元/月
安厦 襄城檀溪襄轴家属院1室1厅1卫轴承一路41中 轴承厂家属区,1室1厅|50平米|5/6层臧升群 整租 南北,650 ,元/月
檀溪路檀溪府。邸精装三室家电齐全拎包入住 檀溪府邸,3室2厅|120平米|21/23层袁帅鹏 整租 南北,2500 ,元/月
东门口医院上班方便近 庞公花苑 精装2房即可。 庞公花苑,2室2厅|90平米|1/6层崔贵波 整租 南北,1800 ,元/月
襄城区东门口二附近红旗小区两室精装修有车位 红旗小区,2室1厅|75平米|7/8层崔贵波 整租 南北,1000 ,元/月
襄城附小附近精装修三房两厅一卫，带家具，家电拎包入住,3室2厅|120平米|7/7层彭军华 整租 东南,1700 ,元/月
鱼梁洲鹿鸣岛，5楼1500元，家具家电齐全，复试楼带空中花园 鹿鸣岛花园夏雨苑,4室2厅|153平米|5/6层赵晓 整租 西北,1500 ,元/月
农校家属院精装修，带空调家俱，家电拎包入住。 美琦公寓,1室1厅|46平米|3/4层彭军华 整租 南北,1500 ,元/月
檀溪路 襄阳市图书馆后慧苑新区 二室二厅 慧苑新区,2室2厅|80平米|1/7层刘源 整租 南北,1800 ,元/月
檀溪明园精装修一房一厅，带家具，家电拎包入住。 山水檀溪明园,1室1厅|60平米|7/9层彭军华 整租 西北,2000 ,元/月
四中对面陪读房，荆州街四区88平2室2厅，家电齐全拎包住. 生活一区,2室2厅|86平米|4/6层崔贵波 整租 朝南,2000 ,元/月
西门桥建行家属院 中间楼层 拎包入住 精装修 昭明台社区,2室2厅|82平米|3/7层黄虹玲 整租 南北,1800 ,元/月
安厦襄城檀溪东方小区板楼精装修采光好拎包入住有钥匙看房方便 东方社区,3室2厅|112平米|3/6层赵鹏侦 整租 南北,1850 ,元/月
襄城武商附近 四中陪读房，一室精装1500元 金榜公寓,1室1厅|30平米|1/5层张小琴 整租 南北,1500 ,元/月
东门口河畔林语两室精装家具家电齐全 有钥匙看房方便 庞公春晓,2室2厅|95平米|2/15层康海波 整租 南北,1500 ,元/月
安厦好房 檀溪恒大名都对面小区 两室精装家具家电齐全 檀溪府邸,2室2厅|82平米|22/23层冯静雯 整租 南北,1800 ,元/月
安厦襄城檀溪东方小区板楼精装修采光好拎包入住有钥匙看房方便 东方社区,3室2厅|112平米|3/6层赵鹏侦 整租 南北,1850 ,元/月
襄城武商附近 四中陪读房，一室精装1500元 金榜公寓,1室1厅|30平米|1/5层张小琴 整租 南北,1500 ,元/月
鼓楼北街带空调，热水器，可拎包入住。,1室1厅|50平米|3/6层彭军华 整租 东北,1100 ,元/月
东门口河畔林语两室精装家具家电齐全 有钥匙看房方便 庞公春晓,2室2厅|95平米|2/15层康海波 整租 南北,1500 ,元/月
安厦好房 名仕家天下精装3室，家具家电齐全，送免费停车位 名仕家天下,3室2厅|123平米|12/18层邵华月 整租 朝南,2200 ,元/月
檀溪路水园精装二室中层带中央空调电梯房家具家电齐全拎包入住 山水檀溪檀园,2室2厅|100平米|11/15层赵俊锋 整租 南北,2200 ,元/月
一桥头襄阳天下正对面江景房浩然公寓正规两室整租 嘉源新村,2室2厅|80平米|8/8层王振华 整租 西北,1000 ,元/月
襄城美琪公寓 一室一厅诚心出租 慧苑新区,2室2厅|78平米|4/7层邹学亭 整租 南北,1500 ,元/月
安厦好房 人大家属院小区 3室2厅2卫,3室2厅|140平米|3/7层卢旭芳 整租 朝南,1800 ,元/月
襄城芙蓉园 全新装修 家具家电齐全 拎包入住 安厦 山水檀溪芙蓉园,3室2厅|100平米|2/11层冯燕红 整租 南北,2800 ,元/月
卧龙大桥旁 檀溪路 檀溪付邸 三室二厅 檀溪府邸,3室2厅|135平米|6/23层刘源 整租 南北,2200 ,元/月
襄城中心医院附近四中对面3室近22中四中义教部新装家具家电全 审计局家属院,2室2厅|100平米|2/6层朱桂芳 整租 南北,2500 ,元/月
安厦租房，襄城檀溪国际商都，一室一厅一卫，带阳台，拎 包入住 国际商都,1室1厅|50平米|3/4层余传雄 整租 朝南,1000 ,元/月
（安厦好房）闸口在水一方 精装三室 南北通透 直接拎包入住 在水一方,3室2厅|123平米|1/7层冷孝红 整租 南北,2000 ,元/月
安厦好房 檀溪中路学府花园 三室精装家具家电齐全 看房方便 学府花园,3室2厅|107平米|2/7层辛美娜 整租 南北,2000 ,元/月
安厦好房 襄城三桥旁檀溪府.邸精装2室电梯房 中层 檀溪府邸,2室2厅|85平米|12/23层邵华月 合租 朝南,1500 ,元/月
安厦好房 君祥御景佳园 精装修拎包入住 君祥御景佳园,3室2厅|101平米|14/15层卢旭芳 整租 朝南,2300 ,元/月
安厦好房 沿江大道滨江苑小区 三室精装家具家电齐全 看房方便 滨江苑小区,3室2厅|104平米|5/6层张曼 整租 南北,1800 ,元/月
卫校附近单位院，带家具，家电，拎包入住,2室1厅|75平米|2/6层彭军华 整租 南北,1500 ,元/月
鼓楼商场家属院两室一厅出租 鼓楼商场福利路家属院,2室2厅|86平米|3/6层聂雨菡 整租 南北,1800 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|83平米|18/23层张曼 整租 南北,1900 ,元/月
安厦好房 襄城檀溪恒大名都精装3室，婚房未入住 恒大名都,3室2厅|116平米|4/23层邵华月 合租 朝南,2300 ,元/月
荟园小区两室好房出租,2室2厅|92平米|3/7层聂雨菡 整租 南北,1500 ,元/月
安厦好房 檀溪路东方小区电梯房两室精装修家具家电齐 东方社区,2室2厅|83平米|6/12层张曼 整租 南北,1500 ,元/月
襄城环城路 3室2厅2卫 精装修 家具家电齐全 安厦 仟和惠景,3室2厅|149平米|2/7层冯燕红 整租 南北,2000 ,元/月
鼓楼巷菜场门面一间，可从事各种经营。 鼓楼公寓,1室1厅|60平米|1/6层彭军华 整租 东西,2800 ,元/月
襄城檀溪恒大名对面电梯房 精装两室家具家电齐全 直接入住 檀溪府邸,2室2厅|82平米|17/26层郑金兰 整租 朝南,1600 ,元/月
襄城檀溪山水家园2楼精装修133平有钥匙看房方便 山水檀溪山水家园,3室2厅|133平米|2/25层陈枝敏 整租 南北,2500 ,元/月
襄城南街绿影壁公寓精装修 ，全新装修全新家电家具 绿影壁公寓,3室2厅|130平米|1/6层崔贵波 整租 南北,2800 ,元/月
图书馆旁边租檀溪检察院家属院2室精装家具家电齐全， 山水檀溪明园,2室2厅|88平米|3/7层黄虹玲 整租 南北,1600 ,元/月
新城湾新出三室二厅大房，家具家电齐全，2000直接入住,3室2厅|135平米|4/7层王立 整租 南北,2000 ,元/月
安厦出租，襄城檀溪恒大一期，精装两室，阳台朝南，拎包入住 恒大名都,2室2厅|91平米|11/23层余传雄 整租 朝南,1800 ,元/月
襄城高端小区 精装修两房 拎包入住 安厦 华凯丽江泊林,2室2厅|80平米|8/8层冯燕红 整租 南北,1700 ,元/月
安嘉华立凤凰城对面精装3室出租 在水一方,3室2厅|150平米|2/30层李小燕 整租 朝南,2000 ,元/月
君临山拎包入住家具家电齐全两室电梯房 君临山,2室2厅|93平米|11/15层聂雨菡 整租 南北,2500 ,元/月
鼓楼中心位置。婚房精装修，带家具家电，拎包入住。 鼓楼公寓,2室1厅|90平米|5/7层彭军华 整租 南北,2100 ,元/月
东门口清华园拎包入住精装修三房，有电梯有空调小区配套也齐全 清华园,3室2厅|122平米|6/9层王立 整租 南北,2500 ,元/月
安厦 襄城襄轴家属院2室2厅1卫好楼层出租 轴承厂家属区,2室2厅|65平米|2/7层臧升群 整租 南北,900 ,元/月
安厦好房襄城 美格丽芬 名人城市 山水檀溪明园 2室2厅1卫 山水檀溪明园,2室2厅|90平米|4/9层王春红 整租 南北,2600 ,元/月
安厦好房 荆州街单位小区学 区房 家具家电齐全适合陪读 景苑1区,3室2厅|110平米|1/7层张曼 整租 南北,2600 ,元/月
西门桥建行家属院 精装修 中间楼层 拎包入住 昭明台社区,2室2厅|82平米|3/7层黄虹玲 整租 南北,1800 ,元/月
安厦好房 檀溪新居两室精装修 楼层好 家具家电齐全 檀溪新居,2室2厅|86平米|6/7层张曼 整租 南北,1800 ,元/月
生活一区冬天送免费暖气的大三房，寒冬给家人一个温暖 生活一区,3室2厅|141平米|3/7层王立 整租 南北,3000 ,元/月
山水檀溪明园 1室1厅1卫 山水檀溪明园,1室1厅|45平米|2/9层卢旭芳 整租 南北,1600 ,元/月
安厦好房 襄城东门口 三室精装修 采光无敌看房方便！ 华凯丽江泊林,3室2厅|98平米|7/8层胡玥 整租 南北,2000 ,元/月
安廈 东方小区市政府对面 精装2房 家具家电齐全 拎包入住 东方社区,2室2厅|81平米|12/15层马思维 整租 南北,1550 ,元/月
四中五小陪读房，精装修家电家具齐全新房子拎包入住房子新。 新城湾小区,3室2厅|120平米|4/6层崔贵波 整租 朝南,2000 ,元/月
西门桥卫校家属院，3楼2室家电齐全，诚意出租！！！,2室1厅|76平米|3/5层王文俊 整租 南北,1500 ,元/月
（安厦好房）荆州街 生活一区 精装二室步行5 分 到四中 生活一区,2室1厅|68平米|5/7层袁飞 整租 南北,2000 ,元/月
安厦优选 襄城胜利街 荟苑 江华小区中间楼层 2室2厅一千二 荟苑小区,2室2厅|72平米|4/6层王春红 整租 南北,1000 ,元/月
恒大名都对面檀溪府低高档电梯精装大两房家电齐全拎包入住！！！ 檀溪府邸,2室2厅|92平米|14/27层庄坦 整租 南北,1700 ,元/月
安厦优选襄城东门口 河畔林语 庞公春晓一轻局2楼3楼精装干净 隆馨家园,2室2厅|69平米|3/6层王春红 整租 南北,1200 ,元/月
四中武商金榜公寓，荆州街一区单位房，2室一厅家电齐全四中陪读 四中小学家属院,2室2厅|88平米|5/6层崔贵波 整租 朝南,2000 ,元/月
爱尚居闸口四季青民房一楼带小院可停电三轮,2室2厅|130平米|1/2层杨永胜 整租 东西,1000 ,元/月
襄城22中四中附近老干局3室保养地干净家具家电全 审计局家属院,3室2厅|140平米|5/7层朱桂芳 整租 南北,2500 ,元/月
安厦出租，恒大一期，精装四室，家具家电齐全，车位另租 恒大名都,4室2厅|173平米|10/32层余传雄 整租 南北,4200 ,元/月
襄城区二桥头 家电家具齐全 交通便利 拎包入住 中房泰鑫公寓,3室2厅|130平米|4/8层王军 整租 南北,1800 ,元/月
盛丰路文理学院附近单位院，两房一厅一卫 湖北机动通信局家属院,2室1厅|60平米|1/5层彭军华 整租 南北,700 ,元/月
安厦好房 檀溪恒大对面小区 两室精装家具家电齐全 看房方便 檀溪府邸,2室2厅|85平米|1/23层郝芳 整租 南北,1900 ,元/月
荆州街市政府生活四区 两室两厅诚心出租,2室2厅|58平米|4/5层邹学亭 整租 南北,2000 ,元/月
四中武商金榜公寓，荆州街一区单位房，2室一厅家电齐全四中陪读 四中小学家属院,2室2厅|88平米|5/6层崔贵波 整租 朝南,2000 ,元/月
爱尚居闸口四季青民房一楼带小院可停电三轮,2室2厅|130平米|1/2层杨永胜 整租 东西,1000 ,元/月
襄城22中四中附近老干局3室保养地干净家具家电全 审计局家属院,3室2厅|140平米|5/7层朱桂芳 整租 南北,2500 ,元/月
安厦出租，恒大一期，精装四室，家具家电齐全，车位另租 恒大名都,4室2厅|173平米|10/32层余传雄 整租 南北,4200 ,元/月
襄城区二桥头 家电家具齐全 交通便利 拎包入住 中房泰鑫公寓,3室2厅|130平米|4/8层王军 整租 南北,1800 ,元/月
盛丰路文理学院附近单位院，两房一厅一卫 湖北机动通信局家属院,2室1厅|60平米|1/5层彭军华 整租 南北,700 ,元/月
安厦好房 檀溪恒大对面小区 两室精装家具家电齐全 看房方便 檀溪府邸,2室2厅|85平米|1/23层郝芳 整租 南北,1900 ,元/月
荆州街市政府生活四区 两室两厅诚心出租,2室2厅|58平米|4/5层邹学亭 整租 南北,2000 ,元/月
襄城四中初中部 审计局步行五分 精装两室 拎包入住 审计局家属院,2室2厅|100平米|6/6层吴莹 整租 南北,2200 ,元/月
租檀溪检察院家属院2室精装家具家电齐全，图书馆旁边 山水檀溪明园,2室2厅|88平米|5/7层彭丹 整租 南北,1600 ,元/月
（安厦好房）鼓楼商圈 北街 2室 位置好 楼层佳,2室2厅|72平米|3/6层袁飞 整租 南北,1000 ,元/月
安厦好房 檀溪东方小区 两室精装 简单家具家电 有钥匙 东方社区,2室2厅|80平米|4/8层卢旭芳 整租 南北,1300 ,元/月
安厦好房 东方小区两室简单家具 电梯房小区环境好 看房方便 东方社区,2室2厅|85平米|2/11层李莉 整租 南北,1350 ,元/月
檀溪街区檀溪福地三室房出租 檀溪府邸,3室2厅|120平米|11/23层聂雨菡 整租 南北,2400 ,元/月
檀溪中路精装修拎包入住的房子，1800随时可以入住了 檀溪府邸,2室2厅|89平米|16/19层王立 整租 南北,1800 ,元/月
安厦好房 山水檀溪芙蓉园 芙蓉路 精装三室 全新家具拎包入住 山水檀溪芙蓉园,3室1厅|99平米|2/11层杨祺 整租 南北,2800 ,元/月
安厦好房出租 位于檀溪路附近的芙蓉园 精装3室 山水檀溪芙蓉园,3室2厅|98平米|2/11层曹梅琴 整租 南北,2800 ,元/月
